date,city,temp_max_f,temp_min_f,precipitation_inches,wind_speed_max_mph,weather_code
2026-06-18,Denver,90.2,74.9,,13.6,0.0
2026-06-19,Denver,83.3,64.3,0.0,11.5,3.0
2026-06-20,Denver,90.7,61.6,0.1,18.2,51.0
2026-06-21,Denver,89.8,65.2,0.6,18.0,51.0
2026-06-22,Denver,90.5,63.5,0.0,13.0,3.0
2026-06-23,Denver,86.4,65.9,1.1,15.0,53.0
2026-06-24,Denver,89.6,61.2,5.9,20.0,80.0
2026-06-25,Denver,78.1,61.0,6.6,12.1,80.0
2026-06-26,Denver,89.5,63.0,0.1,12.3,51.0
2026-06-27,Denver,95.4,68.4,0.0,21.4,3.0
2026-06-28,Denver,91.1,65.0,0.0,15.5,3.0
2026-06-29,Denver,90.5,63.4,0.0,18.9,0.0
2026-06-30,Denver,92.5,67.3,0.0,25.8,3.0
2026-07-01,Denver,92.2,65.2,0.0,19.0,3.0
2026-07-02,Denver,93.4,62.6,0.0,13.9,3.0
2026-07-03,Denver,92.5,69.3,0.0,24.4,3.0
2026-07-04,Denver,92.0,60.9,0.0,12.6,3.0
2026-07-05,Denver,96.6,59.1,0.0,10.2,3.0
2026-07-06,Denver,98.0,64.5,0.4,29.3,51.0
2026-07-07,Denver,96.1,62.3,0.0,23.4,3.0
2026-07-08,Denver,93.6,62.4,4.0,12.2,61.0
2026-07-09,Denver,91.5,59.7,1.1,16.1,55.0
2026-07-10,Denver,91.5,57.1,0.0,16.4,3.0
2026-07-11,Denver,97.8,58.6,0.0,13.0,3.0
2026-07-12,Denver,98.3,63.0,0.0,13.3,3.0
2026-07-13,Denver,100.4,65.5,0.0,14.4,2.0
2026-07-14,Denver,98.2,64.2,0.0,14.7,2.0
2026-07-15,Denver,96.7,65.2,0.0,15.5,1.0
2026-07-16,Denver,94.2,69.1,0.0,15.8,3.0
2026-07-17,Denver,94.8,68.2,0.0,14.2,3.0
2026-07-18,Denver,96.4,65.7,0.0,10.0,2.0
2026-07-19,Denver,100.9,65.3,0.0,12.9,3.0
2026-07-20,Denver,102.9,69.8,0.4,11.7,51.0
2026-07-21,Denver,96.9,70.1,0.0,13.5,3.0
2026-07-22,Denver,93.5,66.4,2.2,11.7,61.0
2026-07-23,Denver,89.3,66.8,0.0,10.9,3.0
